127.0.0.1 - - [18/Jun/2025:11:31:33 +0300] "GET / HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
127.0.0.1 - - [19/Jun/2025:07:59:39 +0300] "POST /interface.php?m=init HTTP/1.1" 301 169 "-" "Mozilla/4.0 (compatible; MSIE 6.00)"
127.0.0.1 - - [19/Jun/2025:07:59:41 +0300] "\x80\x92\x01\x03\x01\x00i\x00\x00\x00 \x00\x009\x00\x008\x00\x005\x00\x00\x16\x00\x00\x13\x00\x00" 400 157 "-" "-"
127.0.0.1 - - [19/Jun/2025:07:59:41 +0300] "GET /time.php HTTP/1.1" 301 169 "-" "Mozilla/4.0 (compatible; MSIE 6.00)"
127.0.0.1 - - [19/Jun/2025:07:59:41 +0300] "\x80\x92\x01\x03\x01\x00i\x00\x00\x00 \x00\x009\x00\x008\x00\x005\x00\x00\x16\x00\x00\x13\x00\x00" 400 157 "-" "-"
127.0.0.1 - - [19/Jun/2025:08:00:03 +0300] "GET /interface.php?m=uploadstatus&pid=846&version_id=13.0.60.5095&client_sign={0d929b15-4403-4f80-acc6-21e24b866f3dG} HTTP/1.1" 301 169 "-" "Mozilla/4.0 (compatible; MSIE 6.00)"
127.0.0.1 - - [19/Jun/2025:08:00:03 +0300] "\x80\x92\x01\x03\x01\x00i\x00\x00\x00 \x00\x009\x00\x008\x00\x005\x00\x00\x16\x00\x00\x13\x00\x00" 400 157 "-" "-"
127.0.0.1 - - [19/Jun/2025:08:00:03 +0300] "GET /interface.php?m=uploadstatus&pid=14416&version_id=1.0.1.1&client_sign={0d929b15-4403-4f80-acc6-21e24b866f3dG} HTTP/1.1" 301 169 "-" "Mozilla/4.0 (compatible; MSIE 6.00)"
127.0.0.1 - - [19/Jun/2025:08:00:03 +0300] "\x80\x92\x01\x03\x01\x00i\x00\x00\x00 \x00\x009\x00\x008\x00\x005\x00\x00\x16\x00\x00\x13\x00\x00" 400 157 "-" "-"
127.0.0.1 - - [19/Jun/2025:19:32:09 +0300] "POST /interface.php?m=init HTTP/1.1" 301 169 "-" "Mozilla/4.0 (compatible; MSIE 6.00)"
127.0.0.1 - - [19/Jun/2025:19:32:10 +0300] "\x80\x92\x01\x03\x01\x00i\x00\x00\x00 \x00\x009\x00\x008\x00\x005\x00\x00\x16\x00\x00\x13\x00\x00" 400 157 "-" "-"
127.0.0.1 - - [19/Jun/2025:19:32:10 +0300] "GET /time.php HTTP/1.1" 301 169 "-" "Mozilla/4.0 (compatible; MSIE 6.00)"
127.0.0.1 - - [19/Jun/2025:19:32:10 +0300] "\x80\x92\x01\x03\x01\x00i\x00\x00\x00 \x00\x009\x00\x008\x00\x005\x00\x00\x16\x00\x00\x13\x00\x00" 400 157 "-" "-"
127.0.0.1 - - [19/Jun/2025:19:32:39 +0300] "GET /interface.php?m=uploadstatus&pid=846&version_id=13.0.60.5095&client_sign={0d929b15-4403-4f80-acc6-21e24b866f3dG} HTTP/1.1" 301 169 "-" "Mozilla/4.0 (compatible; MSIE 6.00)"
127.0.0.1 - - [19/Jun/2025:19:32:39 +0300] "\x80\x92\x01\x03\x01\x00i\x00\x00\x00 \x00\x009\x00\x008\x00\x005\x00\x00\x16\x00\x00\x13\x00\x00" 400 157 "-" "-"
127.0.0.1 - - [19/Jun/2025:19:32:39 +0300] "GET /interface.php?m=uploadstatus&pid=14416&version_id=1.0.1.1&client_sign={0d929b15-4403-4f80-acc6-21e24b866f3dG} HTTP/1.1" 301 169 "-" "Mozilla/4.0 (compatible; MSIE 6.00)"
127.0.0.1 - - [19/Jun/2025:19:32:39 +0300] "\x80\x92\x01\x03\x01\x00i\x00\x00\x00 \x00\x009\x00\x008\x00\x005\x00\x00\x16\x00\x00\x13\x00\x00" 400 157 "-" "-"
127.0.0.1 - - [20/Jun/2025:08:28:59 +0300] "POST /interface.php?m=init HTTP/1.1" 301 169 "-" "Mozilla/4.0 (compatible; MSIE 6.00)"
127.0.0.1 - - [20/Jun/2025:08:29:00 +0300] "\x80\x92\x01\x03\x01\x00i\x00\x00\x00 \x00\x009\x00\x008\x00\x005\x00\x00\x16\x00\x00\x13\x00\x00" 400 157 "-" "-"
127.0.0.1 - - [20/Jun/2025:08:29:00 +0300] "GET /time.php HTTP/1.1" 301 169 "-" "Mozilla/4.0 (compatible; MSIE 6.00)"
127.0.0.1 - - [20/Jun/2025:08:29:00 +0300] "\x80\x92\x01\x03\x01\x00i\x00\x00\x00 \x00\x009\x00\x008\x00\x005\x00\x00\x16\x00\x00\x13\x00\x00" 400 0 "-" "-"
127.0.0.1 - - [20/Jun/2025:08:29:28 +0300] "GET /interface.php?m=uploadstatus&pid=846&version_id=13.0.60.5095&client_sign={0d929b15-4403-4f80-acc6-21e24b866f3dG} HTTP/1.1" 301 169 "-" "Mozilla/4.0 (compatible; MSIE 6.00)"
127.0.0.1 - - [20/Jun/2025:08:29:28 +0300] "\x80\x92\x01\x03\x01\x00i\x00\x00\x00 \x00\x009\x00\x008\x00\x005\x00\x00\x16\x00\x00\x13\x00\x00" 400 157 "-" "-"
127.0.0.1 - - [20/Jun/2025:08:29:28 +0300] "GET /interface.php?m=uploadstatus&pid=14416&version_id=1.0.1.1&client_sign={0d929b15-4403-4f80-acc6-21e24b866f3dG} HTTP/1.1" 301 169 "-" "Mozilla/4.0 (compatible; MSIE 6.00)"
127.0.0.1 - - [20/Jun/2025:08:29:28 +0300] "\x80\x92\x01\x03\x01\x00i\x00\x00\x00 \x00\x009\x00\x008\x00\x005\x00\x00\x16\x00\x00\x13\x00\x00" 400 157 "-" "-"
127.0.0.1 - - [20/Jun/2025:09:38:23 +0300] "GET /time.php HTTP/1.1" 301 169 "-" "Mozilla/4.0 (compatible; MSIE 6.00)"
127.0.0.1 - - [20/Jun/2025:09:38:24 +0300] "\x80\x92\x01\x03\x01\x00i\x00\x00\x00 \x00\x009\x00\x008\x00\x005\x00\x00\x16\x00\x00\x13\x00\x00" 400 157 "-" "-"
127.0.0.1 - - [20/Jun/2025:09:38:48 +0300] "GET /interface.php?m=uploadstatus&pid=846&version_id=13.0.60.5095&client_sign={0d929b15-4403-4f80-acc6-21e24b866f3dG} HTTP/1.1" 301 169 "-" "Mozilla/4.0 (compatible; MSIE 6.00)"
127.0.0.1 - - [20/Jun/2025:09:38:48 +0300] "\x80\x92\x01\x03\x01\x00i\x00\x00\x00 \x00\x009\x00\x008\x00\x005\x00\x00\x16\x00\x00\x13\x00\x00" 400 157 "-" "-"
127.0.0.1 - - [20/Jun/2025:09:38:48 +0300] "GET /interface.php?m=uploadstatus&pid=14416&version_id=1.0.1.1&client_sign={0d929b15-4403-4f80-acc6-21e24b866f3dG} HTTP/1.1" 301 169 "-" "Mozilla/4.0 (compatible; MSIE 6.00)"
127.0.0.1 - - [20/Jun/2025:09:38:48 +0300] "\x80\x92\x01\x03\x01\x00i\x00\x00\x00 \x00\x009\x00\x008\x00\x005\x00\x00\x16\x00\x00\x13\x00\x00" 400 157 "-" "-"
